Incident Date,State,City Or County,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,FIPS state,Population state,FIPS county,Population county
2024-08-08,Florida,Coconut Creek,0,0,0,0,1,12000,21538187.0,12011,1944375.0
2024-08-08,California,Berkeley,0,0,0,0,0,06000,39538223.0,06001,1682353.0
2024-08-08,Arkansas,Magnolia,0,0,0,0,1,05000,3011524.0,05027,22801.0
2024-08-05,Tennessee,Memphis,0,0,0,0,1,47000,6910840.0,47157,929744.0
2024-08-05,Florida,Fort Pierce,0,0,0,0,1,12000,21538187.0,12111,329226.0
2024-08-01,New Mexico,Las Cruces,0,0,0,0,2,35000,2117522.0,35013,219561.0
2024-07-30,Oregon,Klamath Falls,0,1,0,0,0,41000,4237256.0,41035,69413.0
2024-07-30,Indiana,Fort Wayne,0,0,1,0,0,18000,6785528.0,18003,385410.0
2024-07-19,Texas,Austin,0,0,0,0,2,48000,29145505.0,48453,1290188.0
2024-07-19,Washington,Tacoma,0,0,0,0,0,53000,7705281.0,53053,921130.0
2024-07-13,Texas,Austin,0,0,0,0,0,48000,29145505.0,48453,1290188.0
2024-07-11,Nevada,Las Vegas,0,0,0,0,1,32000,3104614.0,32003,2265461.0
2024-07-09,Texas,Greenville,0,0,0,0,1,48000,29145505.0,48231,99956.0
2024-07-09,California,Fair Oaks,0,0,0,0,1,06000,39538223.0,06067,1585055.0
2024-07-03,Florida,Fort Pierce,0,0,0,0,1,12000,21538187.0,12111,329226.0
2024-06-28,North Carolina,Wingate,0,0,0,1,0,37000,10439388.0,37179,238267.0
2024-06-26,Florida,Sanford,0,0,0,0,1,12000,21538187.0,12117,470856.0
2024-06-21,Tennessee,Memphis,0,0,0,0,1,47000,6910840.0,47157,929744.0
2024-06-12,Washington,Kent,0,0,0,0,1,53000,7705281.0,53033,2269675.0
2024-06-12,Virginia,Norfolk,0,0,0,0,1,51000,8631393.0,51710,238005.0
2024-06-11,New Mexico,Yah-ta-hey,0,0,0,0,1,35000,2117522.0,35031,72902.0
2024-06-10,Washington,Federal Way,0,0,0,0,1,53000,7705281.0,53033,2269675.0
2024-06-10,Maryland,Reisterstown,0,0,0,0,0,24000,6177224.0,24005,854535.0
2024-06-08,Minnesota,Minneapolis,0,1,0,0,0,27000,5706494.0,27053,1281565.0
